"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 75766";"0.978723404255319";"1";"1";"1";"0.055539349714915";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 75766";"0.978723404255319";"1";"1";"2";"0.0577739675839742";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 75766";"0.984042553191489";"1";"1";"3";"0.0596588850021362";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 75766";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.066063117980957";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 75766";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0540379683176676";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 75142";"0.979452054794521";"0.985714285714286";"0.985074626865672";"1";"0.0715336322784424";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 75142";"0.986301369863014";"0.985714285714286";"0.985074626865672";"2";"0.0603090683619181";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 75142";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.0677476167678833";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 75142";"0.979452054794521";"1";"1";"4";"0.0628441333770752";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 75142";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.0651124477386475";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 77486";"1";"1";"1";"1";"0.0487509171168009";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 77486";"1";"1";"1";"2";"0.0481505155563354";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 77486";"1";"1";"1";"3";"0.0471662004788717";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 77486";"1";"1";"1";"4";"0.0529038667678833";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 77486";"1";"1";"1";"5";"0.0482169469197591";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 74575";"0.987654320987654";"1";"1";"1";"0.0720173001289368";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 74575";"0.991735537190083";"0.975609756097561";"0.954545454545454";"2";"0.0660964488983154";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 74575";"0.991769547325103";"0.98780487804878";"0.977777777777778";"3";"0.0727842013041178";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 74575";"0.987603305785124";"0.987951807228916";"0.977777777777778";"4";"0.0720840136210124";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 74575";"0.987603305785124";"1";"1";"5";"0.0771875977516174";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 75517";"0.994047619047619";"1";"1";"1";"0.058074164390564";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 75517";"0.994047619047619";"1";"1";"2";"0.0564397176106771";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 75517";"0.994047619047619";"0.984375";"0.977777777777778";"3";"0.0585080703099569";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 75517";"0.994047619047619";"1";"1";"4";"0.0546550830205282";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 75517";"0.994047619047619";"1";"1";"5";"0.0556057333946228";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"200 x 82667";"0.986111111111111";"0.979591836734694";"0.962962962962963";"1";"0.0602757175763448";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 82667";"0.979166666666667";"1";"1";"2";"0.0688147346178691";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 82667";"0.979166666666667";"1";"1";"3";"0.0593250314394633";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 82667";"0.986111111111111";"0.94";"0.903225806451613";"4";"0.0572735826174418";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 82667";"0.979166666666667";"1";"1";"5";"0.0589751164118449";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 74131";"0.987730061349693";"1";"1";"1";"0.0644783814748128";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 74131";"0.987730061349693";"1";"1";"2";"0.0571738521258036";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 74131";"0.99390243902439";"1";"1";"3";"0.0569236795107524";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 74131";"0.993865030674847";"1";"1";"4";"0.0664964516957601";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 74131";"0.993865030674847";"0.966666666666667";"0.95";"5";"0.0580241163571676";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 75041";"0.98989898989899";"0.989010989010989";"0.987951807228916";"1";"0.0699827353159587";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 75041";"0.994949494949495";"0.989010989010989";"0.987951807228916";"2";"0.0659463167190552";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 75041";"0.98989898989899";"1";"1";"3";"0.067814048131307";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 75041";"0.989949748743719";"1";"1";"4";"0.0717337330182393";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"364 x 75041";"0.989949748743719";"1";"1";"5";"0.0702994505564372";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"340 x 76225";"0.993589743589744";"1";"1";"1";"0.0747525533040365";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 76225";"0.987096774193548";"1";"1";"2";"0.0694154699643453";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 76225";"0.993548387096774";"1";"1";"3";"0.0683146834373474";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 76225";"0.993548387096774";"0.988235294117647";"0.989247311827957";"4";"0.0664300521214803";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 76225";"0.993548387096774";"1";"1";"5";"0.0662462830543518";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"293 x 76107";"0.986046511627907";"0.986111111111111";"0.974358974358974";"1";"0.0691152334213257";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"292 x 76107";"0.985981308411215";"1";"1";"2";"0.0614431818326314";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"293 x 76107";"0.986046511627907";"1";"1";"3";"0.0630112687746684";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"291 x 76107";"0.990654205607477";"0.986486486486487";"0.975609756097561";"4";"0.0633278528849284";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"291 x 76107";"0.985981308411215";"0.986486486486487";"0.975609756097561";"5";"0.0630776842435201";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 75066";"0.954545454545455";"0.964285714285714";"0.96";"1";"0.0439312179883321";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"113 x 75066";"0.953846153846154";"0.96551724137931";"0.96";"2";"0.0453315655390422";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 75066";"0.939393939393939";"0.964285714285714";"0.96";"3";"0.0672472675641378";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"113 x 75066";"0.953846153846154";"1";"1";"4";"0.0492512663205465";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 75066";"0.96969696969697";"0.964285714285714";"0.96";"5";"0.0529539148012797";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"148 x 75429";"1";"1";"1";"1";"0.0545719822247823";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 75429";"0.985074626865672";"1";"1";"2";"0.050769035021464";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 75429";"1";"1";"1";"3";"0.0526370008786519";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 75429";"1";"1";"1";"4";"0.0485508322715759";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 75429";"0.985074626865672";"1";"1";"5";"0.0528204679489136";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 75167";"1";"1";"1";"1";"0.0627611001332601";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"212 x 75167";"0.9921875";"1";"1";"2";"0.0536876837412516";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 75167";"1";"1";"1";"3";"0.0605759183565776";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 75167";"1";"0.981132075471698";"0.976744186046512";"4";"0.0527867992719014";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 75167";"1";"1";"1";"5";"0.0626607179641724";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 77992";"0.992805755395683";"1";"1";"1";"0.0675641655921936";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 77992";"0.992805755395683";"1";"1";"2";"0.0580908497174581";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 77992";"1";"0.982456140350877";"0.977777777777778";"3";"0.0583243330319723";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 77992";"0.992805755395683";"1";"1";"4";"0.0599755009015401";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"228 x 77992";"0.992857142857143";"1";"1";"5";"0.0586578845977783";"clin_1__cnv_1__rna_0.75__mirna_0.025__mutation_0.025";"12345"
